id,name,brand,supplier,supplier_rating,rating,review_rating,feedbacks,price_basic,price_sale,discount_pct
1035914380,"TUF F15 Игровой Ноутбук 15.6"" i7-12700H RTX 3060 6G",Asus,Офис и Игровая Техника,4.7,0,0.0,0,131489.0,68703.0,47.8
957200906,"Игровой ноутбук Intel i5 32ГБ SSD 2ТБ 18,5"" IPS FHD",Vicyoung,Vcy laptop,4.5,5,5.0,5,80002.0,48641.0,39.2
1123357712,"Ноутбук 15.6"" IPS, Intel Core i3, 16+1024 ГБ, серый",FRONSH,HELET 3C,4.5,0,0.0,0,41030.0,17692.0,56.9
632169067,"Ноутбук RB-1558 15.6"" Intel N95 4x1.7Ghz, 8Gb 512Gb SSD",AZERTY,SamMarkt,4.7,5,4.8,130,42240.0,26653.0,36.9
1017104191,"Ноутбук Ryzen 7 RAM 20ГБ SSD 1TB AMD 15.6"" IPS 4-ядра",Vicyoung,Vicyoung,4.7,5,5.0,12,80002.0,32928.0,58.8
1044384647,"Ноутбук Супер-Book 15 Pro 2,5K 120 Гц Ryzen 5 5500U 16+1024",Ninkear,iGadget-ноутбук,4.7,0,0.0,0,58276.0,38753.0,33.5
523248097,"Ноутбук Ryzen 7 RAM 20ГБ SSD 1TB AMD 15.6"" IPS 4-ядра",Vicyoung,EBOLAI LAPTOP,4.7,5,5.0,3,88574.0,33658.0,62.0
401264413,"Ноутбук 17.3"", Intel Pentium Gold 6500Y, 20+1024 ГБ, серебро",FRONSH,ORTAL 3C,4.7,5,4.5,2,37487.0,27777.0,25.9
766016601,"Ноутбук 15.6"", Intel Core i3, 16+256 ГБ, серый",FRONSH,YATOB 3C,4.7,0,0.0,0,28721.0,15825.0,44.9
611134988,"Ноутбук для работы AMD-R7 15.6' 20GB DDR4, 1024GB",Vicyoung,EBOLAI LAPTOP,4.7,5,5.0,6,88574.0,31975.0,63.9
494741762,"Ноутбук для работы Zenbook 14"" OLED Snapdragon X 16ГБ 512ГБ",Asus,СИТИЛИНК Доставка,4.8,0,0.0,0,115712.0,90139.0,22.1
399665483,Ноутбук 360 Гц 17.3'' i5 Intel Corei516 1024ГБ SSD 10000мА ч,Vicyoung,Vicyoung,4.7,5,5.0,2,60310.0,46692.0,22.6
672212596,Устройство для чтения карт памяти,Vicyoung,Vcy laptop,4.5,5,5.0,6,85717.0,53744.0,37.3
1108543483,"Ноутбук для работы и учебы 15.6""N5095 32 ГБ +2048ГБ",,Семь звезд,5.0,5,5.0,71,60000.0,21033.0,64.9
325800239,"Ноутбук AZ-1516 15.6"" i3-10110U 2х2.1GHz, 16 Gb, 1Tb SSD",AZERTY,RedComputer,4.8,5,4.9,53,60940.0,36553.0,40.0
1122749229,"Ноутбук Space-XBook 15 Pro,Металл, Ryzen 5 5500U 16+512",Ninkear,iGadget-ноутбук,4.7,0,0.0,0,48573.0,36653.0,24.5
611134981,Ноутбук 18.5'' IPS Intel i7 16ГБ 1024ГБ SSD 10000 мА ч,Vicyoung,EBOLAI LAPTOP,4.7,5,5.0,7,80002.0,53313.0,33.4
977329941,"Ноутбук Turbo-Max A15 Pro 2,5K 120 Гц Ryzen 5 5500U 16+1024…",Ninkear,iGadget-ноутбук,4.7,5,4.8,6,68551.0,37120.0,45.9
1021342493,"2-1 Ноутбук,Планшет YBOOK,15.6"", Ryzen 3-3200U, 8 ГБ+512 ГБ",Ninkear,iGadget-ноутбук,4.7,0,0.0,0,52562.0,25965.0,50.6
861666125,Ноутбук LOQ 15IRX9 i7 13650HX 16Gb SSD512Gb RTX4050 6Gb 15.6,Lenovo,СИТИЛИНК Доставка,4.8,0,0.0,0,185765.0,144710.0,22.1
957200908,"18.5"" Intel i5 1038 Игровой ноутбук ОЗУ 16 ГБ SSD 1024 ГБ",Vicyoung,Vcy laptop,4.5,5,5.0,9,80002.0,46361.0,42.1
611134986,"Ноутбук для работы, учебы и игр 15.6"" Ryzen 5 16ГБ + 512ГБ",Vicyoung,EBOLAI LAPTOP,4.7,5,5.0,3,67065.0,30232.0,54.9
473357635,"Ноутбук для учебы RB-1452 14"" IPS N95 16GB RAM, 512GB SSD",AZERTY,SamMarkt,4.7,5,4.8,119,53750.0,26797.0,50.1
504687030,"Игровой ноутбук Ryzen 5 16ГБ ОЗУ 512ГБ SSD 15.6"" IPS 4-ядра",Vicyoung,Vicyoung,4.7,5,5.0,6,41144.0,29315.0,28.8
901073837,"Ноутбук игровой i7-6700HQ Windows 11 Pro, 32 1TB",PWR,Comp Comp,4.7,0,0.0,0,121000.0,47129.0,61.1
1004114579,Ноутбук 15. 6 дюймов для работы и игр 16 ГБ 1ТБ,SANCYT,Цифровая победа Брауна,4.6,5,5.0,5,51396.0,20147.0,60.8
